title,company,salary_from,salary_to,salary_currency,schedule,experience,published_at,url,page,scrape_ts
Data Scientist в области языковых моделей (Middle),ИНИТИ,351000,,RUR,Удаленная работа,От 3 до 6 лет,2025-04-27T11:17:04+0300,https://hh.ru/vacancy/119900601,0,2025-04-27T14:09:13
Data Scientist,Rubius,,,,Удаленная работа,От 3 до 6 лет,2025-04-25T07:02:24+0300,https://hh.ru/vacancy/119941025,0,2025-04-27T14:09:13
Data Scientist в Сетку,HeadHunter,,,,Удаленная работа,От 3 до 6 лет,2025-04-25T13:36:18+0300,https://hh.ru/vacancy/119959811,0,2025-04-27T14:09:13
Data Scientist,Корпоративный университет Сбербанка,,,,Полный день,От 1 года до 3 лет,2025-04-24T15:55:00+0300,https://hh.ru/vacancy/119924718,0,2025-04-27T14:09:13
Data Scientist,ТЕКОН-Инжиниринг,,,,Полный день,От 3 до 6 лет,2025-04-25T13:10:05+0300,https://hh.ru/vacancy/119958555,0,2025-04-27T14:09:13
Специалист (Data Scientist),Сбербанк Факторинг,,,,Полный день,От 1 года до 3 лет,2025-04-25T13:20:16+0300,https://hh.ru/vacancy/119387681,0,2025-04-27T14:09:13
Data Scientist (Риски),А ДЕНЬГИ,,,,Удаленная работа,От 1 года до 3 лет,2025-04-25T09:22:05+0300,https://hh.ru/vacancy/117436621,0,2025-04-27T14:09:13
Data scientist,Банк ПСБ,,,,Полный день,От 1 года до 3 лет,2025-04-22T15:15:02+0300,https://hh.ru/vacancy/119828412,0,2025-04-27T14:09:13
Data Scientist,Точка,,510000,RUR,Удаленная работа,От 3 до 6 лет,2025-04-21T09:37:33+0300,https://hh.ru/vacancy/119749370,0,2025-04-27T14:09:13
TL Data Scientist,Платформа ОФД,,459000,RUR,Полный день,Более 6 лет,2025-04-27T12:59:14+0300,https://hh.ru/vacancy/117519659,0,2025-04-27T14:09:13
Data Scientist (Центр корпоративных решений),СБЕР,,,,Полный день,От 1 года до 3 лет,2025-04-25T16:06:00+0300,https://hh.ru/vacancy/119968153,0,2025-04-27T14:09:13
Data Scientist,РобоФинанс,,,,Удаленная работа,От 3 до 6 лет,2025-04-23T21:06:34+0300,https://hh.ru/vacancy/119884674,0,2025-04-27T14:09:13
Data Scientist,Альфа-Банк,,,,Полный день,От 1 года до 3 лет,2025-04-22T17:22:03+0300,https://hh.ru/vacancy/117796801,0,2025-04-27T14:09:13
Специалист по обработке и анализу данных / Data Scientist,Марс,,,,Полный день,От 3 до 6 лет,2025-04-26T09:49:04+0300,https://hh.ru/vacancy/119477244,0,2025-04-27T14:09:13
Data Scientist (Middle/Senior),ПКО АйДи Коллект,,,,Полный день,От 1 года до 3 лет,2025-04-24T14:09:28+0300,https://hh.ru/vacancy/119332755,0,2025-04-27T14:09:13
Data Scientist/ML Engineer,"Hi, Rockits!",,,,Удаленная работа,От 3 до 6 лет,2025-04-24T17:00:25+0300,https://hh.ru/vacancy/119927833,0,2025-04-27T14:09:13
Team Lead Data Scientist (Персонификация),билайн,,,,Удаленная работа,От 3 до 6 лет,2025-04-25T11:41:56+0300,https://hh.ru/vacancy/119583125,0,2025-04-27T14:09:13
Data Scientist (Корпоративные кредитные риски),Банк ВТБ (ПАО),,,,Полный день,От 1 года до 3 лет,2025-04-23T13:07:21+0300,https://hh.ru/vacancy/119856761,0,2025-04-27T14:09:13
Data Scientist (Анализ цены),Домклик,,,,Полный день,От 3 до 6 лет,2025-04-25T17:27:22+0300,https://hh.ru/vacancy/115718008,0,2025-04-27T14:09:13
Дата-сайентист (Data Scientist),Газпром нефть,,,,Удаленная работа,От 3 до 6 лет,2025-04-21T12:27:13+0300,https://hh.ru/vacancy/119764742,0,2025-04-27T14:09:13
Junior Data Scientist (A/B-testing),"Лента, федеральная розничная сеть",,,,Удаленная работа,От 1 года до 3 лет,2025-04-16T19:00:54+0300,https://hh.ru/vacancy/119609073,0,2025-04-27T14:09:13
Data Scientist (Прогнозирование спроса и ДЦО Ритейл),Сбер Бизнес Софт,,,,Полный день,От 1 года до 3 лет,2025-04-21T17:27:02+0300,https://hh.ru/vacancy/119785739,0,2025-04-27T14:09:13
Data Analyst/Data Scientist в команду Внепродуктовой аналитики,X5 Tech,,,,Полный день,От 3 до 6 лет,2025-04-26T15:58:54+0300,https://hh.ru/vacancy/118869999,0,2025-04-27T14:09:13
Senior Data Scientist (Recommender Systems),FunCorp,5000,6500,EUR,Удаленная работа,От 3 до 6 лет,2025-04-26T21:12:58+0300,https://hh.ru/vacancy/115557998,0,2025-04-27T14:09:13
"Data Scientist, Антибот",Ozon,,,,Удаленная работа,От 3 до 6 лет,2025-04-26T18:52:45+0300,https://hh.ru/vacancy/118876260,0,2025-04-27T14:09:13
Senior Data Scientist,Джи Эф Си,,,,Удаленная работа,От 3 до 6 лет,2025-04-21T09:58:57+0300,https://hh.ru/vacancy/119751375,0,2025-04-27T14:09:13
"Junior Data Scientist в команду ""Разработка AI-решений БСР""",СБЕР,,,,Удаленная работа,От 1 года до 3 лет,2025-04-16T20:02:26+0300,https://hh.ru/vacancy/119609635,0,2025-04-27T14:09:13
Data scientist,AMarkets,,,,Полный день,От 3 до 6 лет,2025-04-24T16:18:21+0300,https://hh.ru/vacancy/116376738,0,2025-04-27T14:09:13
Middle Data Scientist (команда Цифровой аватар),СБЕР,,,,Полный день,От 1 года до 3 лет,2025-04-22T17:39:00+0300,https://hh.ru/vacancy/119836997,0,2025-04-27T14:09:13
"Data Scientist (блок ""В2С"")",СБЕР,,,,Полный день,От 3 до 6 лет,2025-04-25T13:00:01+0300,https://hh.ru/vacancy/119957934,0,2025-04-27T14:09:13
Senior Data Scientist / Промо,"МАГНИТ, Розничная сеть",,,,Удаленная работа,От 3 до 6 лет,2025-04-24T15:11:56+0300,https://hh.ru/vacancy/118975551,0,2025-04-27T14:09:13
